title,speaker,duration,url
Can math help repair democracy?,Sam Wang,12:00,https://ted.com/talks/sam_wang_can_math_help_repair_democracy
The humans at the center of the US immigration debate,Ali Noorani,12:00,https://ted.com/talks/ali_noorani_the_humans_at_the_center_of_the_us_immigration_debate
How mRNA medicine will change the world,Melissa J. Moore,18:00,https://ted.com/talks/melissa_j_moore_how_mrna_medicine_will_change_the_world
3 tips for leaders to get the future of work right,Debbie Lovich,12:00,https://ted.com/talks/debbie_lovich_3_tips_for_leaders_to_get_the_future_of_work_right
The real story of Rosa Parks -- and why we need to confront myths about Black history,David Ikard,18:00,https://ted.com/talks/david_ikard_the_real_story_of_rosa_parks_and_why_we_need_to_confront_myths_about_black_history
How we can make racism a solvable problem -- and improve policing,Dr. Phillip Atiba Solomon,12:00,https://ted.com/talks/dr_phillip_atiba_solomon_how_we_can_make_racism_a_solvable_problem_and_improve_policing
The enigmatic language of elephants,Beth Mortimer and Tarje Nissen-Meyer,12:00,https://ted.com/talks/beth_mortimer_and_tarje_nissen_meyer_the_enigmatic_language_of_elephants
The difference between healthy and unhealthy love,Katie Hood,12:00,https://ted.com/talks/katie_hood_the_difference_between_healthy_and_unhealthy_love
Let's protect the oceans like national parks,David Lang,12:00,https://ted.com/talks/david_lang_let_s_protect_the_oceans_like_national_parks
What makes us get sick? Look upstream,Rishi Manchanda,18:00,https://ted.com/talks/rishi_manchanda_what_makes_us_get_sick_look_upstream
A story about knots and surgeons,Ed Gavagan,12:00,https://ted.com/talks/ed_gavagan_a_story_about_knots_and_surgeons
The 4 commandments of cities,Eduardo Paes,12:00,https://ted.com/talks/eduardo_paes_the_4_commandments_of_cities
The happy secret to better work,Shawn Achor,12:00,https://ted.com/talks/shawn_achor_the_happy_secret_to_better_work
How much do you really know about Ancient Rome?,Stephanie Honchell Smith,06:00,https://ted.com/talks/stephanie_honchell_smith_how_much_do_you_really_know_about_ancient_rome
Can math help repair democracy?,Sam Wang,12:00,https://ted.com/talks/sam_wang_can_math_help_repair_democracy
The humans at the center of the US immigration debate,Ali Noorani,12:00,https://ted.com/talks/ali_noorani_the_humans_at_the_center_of_the_us_immigration_debate
Can you outsmart the college admissions fallacy?,Elizabeth Cox,06:00,https://ted.com/talks/elizabeth_cox_can_you_outsmart_the_college_admissions_fallacy
3 tips for leaders to get the future of work right,Debbie Lovich,12:00,https://ted.com/talks/debbie_lovich_3_tips_for_leaders_to_get_the_future_of_work_right
Can the ocean run out of oxygen?,Kate Slabosky,06:00,https://ted.com/talks/kate_slabosky_can_the_ocean_run_out_of_oxygen
Einstein's twin paradox explained,Amber Stuver,06:00,https://ted.com/talks/amber_stuver_einstein_s_twin_paradox_explained
How we can make racism a solvable problem -- and improve policing,Dr. Phillip Atiba Solomon,12:00,https://ted.com/talks/dr_phillip_atiba_solomon_how_we_can_make_racism_a_solvable_problem_and_improve_policing
The enigmatic language of elephants,Beth Mortimer and Tarje Nissen-Meyer,12:00,https://ted.com/talks/beth_mortimer_and_tarje_nissen_meyer_the_enigmatic_language_of_elephants
The difference between healthy and unhealthy love,Katie Hood,12:00,https://ted.com/talks/katie_hood_the_difference_between_healthy_and_unhealthy_love
Let's protect the oceans like national parks,David Lang,12:00,https://ted.com/talks/david_lang_let_s_protect_the_oceans_like_national_parks
The mission to create a searchable database of Earth's surface,Will Marshall,06:00,https://ted.com/talks/will_marshall_the_mission_to_create_a_searchable_database_of_earth_s_surface
It's time for the law to protect victims of gender violence,Laura L. Dunn,06:00,https://ted.com/talks/laura_l_dunn_it_s_time_for_the_law_to_protect_victims_of_gender_violence
"Please, please, people. Let's put the 'awe' back in 'awesome'",Jill Shargaa,06:00,https://ted.com/talks/jill_shargaa_please_please_people_let_s_put_the_awe_back_in_awesome
A story about knots and surgeons,Ed Gavagan,12:00,https://ted.com/talks/ed_gavagan_a_story_about_knots_and_surgeons
The 4 commandments of cities,Eduardo Paes,12:00,https://ted.com/talks/eduardo_paes_the_4_commandments_of_cities
The happy secret to better work,Shawn Achor,12:00,https://ted.com/talks/shawn_achor_the_happy_secret_to_better_work
How cults rewire the brain,Diane Benscoter,06:00,https://ted.com/talks/diane_benscoter_how_cults_rewire_the_brain
"Building ""self-aware"" robots",Hod Lipson,06:00,https://ted.com/talks/hod_lipson_building_self_aware_robots
"""Kiteflyer's Hill""",Eddi Reader,06:00,https://ted.com/talks/eddi_reader_kiteflyer_s_hill
How much do you really know about Ancient Rome?,Stephanie Honchell Smith,06:00,https://ted.com/talks/stephanie_honchell_smith_how_much_do_you_really_know_about_ancient_rome
Can you outsmart the college admissions fallacy?,Elizabeth Cox,06:00,https://ted.com/talks/elizabeth_cox_can_you_outsmart_the_college_admissions_fallacy
Can the ocean run out of oxygen?,Kate Slabosky,06:00,https://ted.com/talks/kate_slabosky_can_the_ocean_run_out_of_oxygen
Einstein's twin paradox explained,Amber Stuver,06:00,https://ted.com/talks/amber_stuver_einstein_s_twin_paradox_explained
The mission to create a searchable database of Earth's surface,Will Marshall,06:00,https://ted.com/talks/will_marshall_the_mission_to_create_a_searchable_database_of_earth_s_surface
It's time for the law to protect victims of gender violence,Laura L. Dunn,06:00,https://ted.com/talks/laura_l_dunn_it_s_time_for_the_law_to_protect_victims_of_gender_violence
"Please, please, people. Let's put the 'awe' back in 'awesome'",Jill Shargaa,06:00,https://ted.com/talks/jill_shargaa_please_please_people_let_s_put_the_awe_back_in_awesome
How cults rewire the brain,Diane Benscoter,06:00,https://ted.com/talks/diane_benscoter_how_cults_rewire_the_brain
"Building ""self-aware"" robots",Hod Lipson,06:00,https://ted.com/talks/hod_lipson_building_self_aware_robots
"""Kiteflyer's Hill""",Eddi Reader,06:00,https://ted.com/talks/eddi_reader_kiteflyer_s_hill
How mRNA medicine will change the world,Melissa J. Moore,18:00,https://ted.com/talks/melissa_j_moore_how_mrna_medicine_will_change_the_world
The real story of Rosa Parks -- and why we need to confront myths about Black history,David Ikard,18:00,https://ted.com/talks/david_ikard_the_real_story_of_rosa_parks_and_why_we_need_to_confront_myths_about_black_history
What makes us get sick? Look upstream,Rishi Manchanda,18:00,https://ted.com/talks/rishi_manchanda_what_makes_us_get_sick_look_upstream
